,RiderID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,PULocationID,PUBorough,PUZone,DOLocationID,DOBorough,DOZone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,congestion_surcharge
102,103,2024-06-17 13:28:07,2024-06-17 13:33:09,1.0,0.49,1.0,161,Manhattan,Midtown Center,90,Manhattan,Flatiron,1,6.5,0.0,0.5,2.1,0.0,12.6,2.5
103,104,2024-06-17 13:18:18,2024-06-17 13:27:25,1.0,1.36,1.0,142,Manhattan,Lincoln Square East,238,Manhattan,Upper West Side North,1,10.7,0.0,0.5,2.94,0.0,17.64,2.5
104,105,2024-06-17 12:07:11,2024-06-17 12:41:19,1.0,6.1,99.0,75,Manhattan,East Harlem South,4,Manhattan,Alphabet City,1,28.5,0.0,0.5,0.0,0.0,29.0,0.0
105,106,2024-06-17 06:21:37,2024-06-17 06:26:46,1.0,1.06,1.0,107,Manhattan,Gramercy,137,Manhattan,Kips Bay,1,7.2,0.0,0.5,2.24,0.0,13.44,2.5
106,107,2024-06-16 16:33:15,2024-06-16 16:52:35,2.0,6.26,1.0,209,Manhattan,Seaport,163,Manhattan,Midtown North,1,28.2,0.0,0.5,6.44,0.0,38.64,2.5
107,108,2024-06-16 15:28:09,2024-06-16 15:37:55,4.0,1.68,1.0,43,Manhattan,Central Park,161,Manhattan,Midtown Center,2,11.4,0.0,0.5,0.0,0.0,15.4,2.5
108,109,2024-06-15 21:48:34,2024-06-15 21:52:33,1.0,0.67,1.0,107,Manhattan,Gramercy,79,Manhattan,East Village,2,6.5,1.0,0.5,0.0,0.0,11.5,2.5
109,110,2024-06-15 20:18:52,2024-06-15 20:23:38,3.0,0.6,1.0,239,Manhattan,Upper West Side South,238,Manhattan,Upper West Side North,1,6.5,3.5,0.5,2.3,0.0,13.8,2.5
110,111,2024-06-15 11:05:38,2024-06-15 11:14:49,1.0,1.4,1.0,75,Manhattan,East Harlem South,262,Manhattan,Yorkville East,1,10.0,2.5,0.5,3.5,0.0,17.5,2.5
111,112,2024-06-14 11:12:47,2024-06-14 11:25:37,1.0,1.36,1.0,237,Manhattan,Upper East Side South,142,Manhattan,Lincoln Square East,1,12.1,0.0,0.5,3.22,0.0,19.32,2.5
112,113,2024-06-13 15:18:04,2024-06-13 15:25:16,1.0,1.26,1.0,236,Manhattan,Upper East Side North,75,Manhattan,East Harlem South,1,9.3,0.0,0.5,1.0,0.0,14.3,2.5
113,114,2024-06-13 14:54:22,2024-06-13 15:03:11,1.0,0.5,1.0,163,Manhattan,Midtown North,163,Manhattan,Midtown North,1,7.9,2.5,0.5,2.4,0.0,14.3,2.5
